date_id,full_date,day_of_week,day_number,month_number,month_name,quarter,year,is_weekend,is_np_holiday
1,2019-01-01,Tuesday,1,1,January,Q1,2019,0,0
2,2019-01-02,Wednesday,2,1,January,Q1,2019,0,0
3,2019-01-03,Thursday,3,1,January,Q1,2019,0,0
4,2019-01-04,Friday,4,1,January,Q1,2019,0,0
5,2019-01-05,Saturday,5,1,January,Q1,2019,1,0
6,2019-01-06,Sunday,6,1,January,Q1,2019,1,0
7,2019-01-07,Monday,7,1,January,Q1,2019,0,0
8,2019-01-08,Tuesday,8,1,January,Q1,2019,0,0
9,2019-01-09,Wednesday,9,1,January,Q1,2019,0,0
10,2019-01-10,Thursday,10,1,January,Q1,2019,0,0
11,2019-01-11,Friday,11,1,January,Q1,2019,0,0
12,2019-01-12,Saturday,12,1,January,Q1,2019,1,0
13,2019-01-13,Sunday,13,1,January,Q1,2019,1,0
14,2019-01-14,Monday,14,1,January,Q1,2019,0,0
15,2019-01-15,Tuesday,15,1,January,Q1,2019,0,0
16,2019-01-16,Wednesday,16,1,January,Q1,2019,0,0
17,2019-01-17,Thursday,17,1,January,Q1,2019,0,0
18,2019-01-18,Friday,18,1,January,Q1,2019,0,0
19,2019-01-19,Saturday,19,1,January,Q1,2019,1,0
20,2019-01-20,Sunday,20,1,January,Q1,2019,1,0
21,2019-01-21,Monday,21,1,January,Q1,2019,0,0
22,2019-01-22,Tuesday,22,1,January,Q1,2019,0,0
23,2019-01-23,Wednesday,23,1,January,Q1,2019,0,0
24,2019-01-24,Thursday,24,1,January,Q1,2019,0,0
25,2019-01-25,Friday,25,1,January,Q1,2019,0,0
26,2019-01-26,Saturday,26,1,January,Q1,2019,1,0
27,2019-01-27,Sunday,27,1,January,Q1,2019,1,0
28,2019-01-28,Monday,28,1,January,Q1,2019,0,0
29,2019-01-29,Tuesday,29,1,January,Q1,2019,0,0
30,2019-01-30,Wednesday,30,1,January,Q1,2019,0,0
31,2019-01-31,Thursday,31,1,January,Q1,2019,0,0
32,2019-02-01,Friday,1,2,February,Q1,2019,0,0
33,2019-02-02,Saturday,2,2,February,Q1,2019,1,0
34,2019-02-03,Sunday,3,2,February,Q1,2019,1,0
35,2019-02-04,Monday,4,2,February,Q1,2019,0,0
36,2019-02-05,Tuesday,5,2,February,Q1,2019,0,0
37,2019-02-06,Wednesday,6,2,February,Q1,2019,0,0
38,2019-02-07,Thursday,7,2,February,Q1,2019,0,0
39,2019-02-08,Friday,8,2,February,Q1,2019,0,0
40,2019-02-09,Saturday,9,2,February,Q1,2019,1,0
41,2019-02-10,Sunday,10,2,February,Q1,2019,1,0
42,2019-02-11,Monday,11,2,February,Q1,2019,0,0
43,2019-02-12,Tuesday,12,2,February,Q1,2019,0,0
44,2019-02-13,Wednesday,13,2,February,Q1,2019,0,0
45,2019-02-14,Thursday,14,2,February,Q1,2019,0,0
46,2019-02-15,Friday,15,2,February,Q1,2019,0,0
47,2019-02-16,Saturday,16,2,February,Q1,2019,1,0
48,2019-02-17,Sunday,17,2,February,Q1,2019,1,0
49,2019-02-18,Monday,18,2,February,Q1,2019,0,0
50,2019-02-19,Tuesday,19,2,February,Q1,2019,0,0
51,2019-02-20,Wednesday,20,2,February,Q1,2019,0,0
52,2019-02-21,Thursday,21,2,February,Q1,2019,0,0
53,2019-02-22,Friday,22,2,February,Q1,2019,0,0
54,2019-02-23,Saturday,23,2,February,Q1,2019,1,0
55,2019-02-24,Sunday,24,2,February,Q1,2019,1,0
56,2019-02-25,Monday,25,2,February,Q1,2019,0,0
57,2019-02-26,Tuesday,26,2,February,Q1,2019,0,0
58,2019-02-27,Wednesday,27,2,February,Q1,2019,0,0
59,2019-02-28,Thursday,28,2,February,Q1,2019,0,0
60,2019-03-01,Friday,1,3,March,Q1,2019,0,0
61,2019-03-02,Saturday,2,3,March,Q1,2019,1,0
62,2019-03-03,Sunday,3,3,March,Q1,2019,1,0
63,2019-03-04,Monday,4,3,March,Q1,2019,0,0
64,2019-03-05,Tuesday,5,3,March,Q1,2019,0,0
65,2019-03-06,Wednesday,6,3,March,Q1,2019,0,0
66,2019-03-07,Thursday,7,3,March,Q1,2019,0,0
67,2019-03-08,Friday,8,3,March,Q1,2019,0,0
68,2019-03-09,Saturday,9,3,March,Q1,2019,1,0
69,2019-03-10,Sunday,10,3,March,Q1,2019,1,0
70,2019-03-11,Monday,11,3,March,Q1,2019,0,0
71,2019-03-12,Tuesday,12,3,March,Q1,2019,0,0
72,2019-03-13,Wednesday,13,3,March,Q1,2019,0,0
73,2019-03-14,Thursday,14,3,March,Q1,2019,0,1
74,2019-03-15,Friday,15,3,March,Q1,2019,0,1
75,2019-03-16,Saturday,16,3,March,Q1,2019,1,0
76,2019-03-17,Sunday,17,3,March,Q1,2019,1,0
77,2019-03-18,Monday,18,3,March,Q1,2019,0,0
78,2019-03-19,Tuesday,19,3,March,Q1,2019,0,0
79,2019-03-20,Wednesday,20,3,March,Q1,2019,0,0
80,2019-03-21,Thursday,21,3,March,Q1,2019,0,0
81,2019-03-22,Friday,22,3,March,Q1,2019,0,0
82,2019-03-23,Saturday,23,3,March,Q1,2019,1,0
83,2019-03-24,Sunday,24,3,March,Q1,2019,1,0
84,2019-03-25,Monday,25,3,March,Q1,2019,0,0
85,2019-03-26,Tuesday,26,3,March,Q1,2019,0,0
86,2019-03-27,Wednesday,27,3,March,Q1,2019,0,0
87,2019-03-28,Thursday,28,3,March,Q1,2019,0,0
88,2019-03-29,Friday,29,3,March,Q1,2019,0,0
89,2019-03-30,Saturday,30,3,March,Q1,2019,1,0
90,2019-03-31,Sunday,31,3,March,Q1,2019,1,0
91,2019-04-01,Monday,1,4,April,Q2,2019,0,0
92,2019-04-02,Tuesday,2,4,April,Q2,2019,0,0
93,2019-04-03,Wednesday,3,4,April,Q2,2019,0,0
94,2019-04-04,Thursday,4,4,April,Q2,2019,0,0
95,2019-04-05,Friday,5,4,April,Q2,2019,0,0
96,2019-04-06,Saturday,6,4,April,Q2,2019,1,0
97,2019-04-07,Sunday,7,4,April,Q2,2019,1,0
98,2019-04-08,Monday,8,4,April,Q2,2019,0,0
99,2019-04-09,Tuesday,9,4,April,Q2,2019,0,0
